;name;zone;red_mean;green_mean;blue_mean;red_median;green_median;blue_median
1;NegativeControl;NegativeControl;0.0372469172757062;0.000758017745675569;0.0578988991533817;0.0117647058823529;0;0.0196078431372549
2;NegativeControl;NegativeControl;0.0399813259349338;0.00148969164081865;0.0222087373920159;0.0156862745098039;0;0.00392156862745098
3;NegativeControl;NegativeControl;0.0437699374030721;0.00170875998103588;0.0257592369528236;0.0156862745098039;0;0.00392156862745098
4;NegativeControl;NegativeControl;0.038619071362065;0.000204410882088872;0.0808184006634878;0.0235294117647059;0;0.0117647058823529
5;NegativeControl;NegativeControl;0.0462473775826092;0.00142360762053435;0.0978215460683441;0.0313725490196078;0;0.0156862745098039
6;NegativeControl;NegativeControl;0.0711223265703226;0.00120072129192814;0.059849563299471;0.0352941176470588;0;0.0117647058823529
7;NegativeControl;NegativeControl;0.066099155650407;0.00119764335482929;0.0558559529922196;0.0313725490196078;0;0.0117647058823529
8;NegativeControl;NegativeControl;0.0731725767547917;0.00139907059014569;0.0522051642922622;0.0392156862745098;0;0.0117647058823529
9;NegativeControl;NegativeControl;0.0512141246420903;0.00118128877527841;0.0675478617349741;0.0235294117647059;0;0.00784313725490196
10;NegativeControl;NegativeControl;0.0427072300630329;0.000182115891399819;0.124952824910484;0.0352941176470588;0;0.0235294117647059
11;NegativeControl;NegativeControl;0.0171564625757904;0.00135177163516999;0.0773478451896319;0.00392156862745098;0;0.00784313725490196
12;NegativeControl;NegativeControl;0.0367284737381166;0.00123849008597249;0.136665052526097;0.0274509803921569;0;0.0313725490196078
13;NegativeControl;NegativeControl;0.0306902492748394;0.00047077941894034;0.118507983637666;0.0235294117647059;0;0.0156862745098039
14;NegativeControl;NegativeControl;0.0674688264435911;0.00119900467816505;0.0590111825980466;0.0313725490196078;0;0.0117647058823529
15;NegativeControl;NegativeControl;0.0627540251788095;0.00019833523619317;0.0550632439406649;0.0274509803921569;0;0.00784313725490196
16;NegativeControl;NegativeControl;0.0694315891639051;0.0003913215188453;0.0514349021163541;0.0352941176470588;0;0.0117647058823529
17;NegativeControl;NegativeControl;0.0481128505631582;0.00218482298009312;0.0663464789296899;0.0196078431372549;0;0.00784313725490196
18;NegativeControl;NegativeControl;0.0389954922246048;0.00182160770192091;0.122311274210682;0.0313725490196078;0;0.0235294117647059
19;NegativeControl;NegativeControl;0.0331683663761054;0.00123872195973133;0.133500663906945;0.0235294117647059;0;0.0274509803921569
20;NegativeControl;NegativeControl;0.0276688781439085;0.00147012493657398;0.115910776923555;0.0196078431372549;0;0.0156862745098039
21;Norma;Epilepsy;0.0529405855665266;0.0178086224724235;0.0321062910790578;0.0235294117647059;0.0156862745098039;0.0156862745098039
22;Norma;Epilepsy;0.0368898017733719;0.0098647734698092;0.0188453113331525;0.0235294117647059;0.00784313725490196;0.0117647058823529
23;Norma;Epilepsy;0.228042797013766;0.01426197799981427;0.0167000864066256;0.192156862745098;0;0.00784313725490196
24;Norma;Epilepsy;0.178902850431621;0.02384374132343836;0.0346182879279611;0.145098039215686;0;0.0235294117647059
25;Norma;Epilepsy;0.221817154977831;0.01366127911735966;0.035560854743508;0.184313725490196;0;0.0274509803921569
26;Norma;Epilepsy;0.152919399037138;0.00352924571318739;0.0467881744983343;0.133333333333333;0;0.0352941176470588
27;Norma;Epilepsy;0.186309294607132;0.00427231508142269;0.045097414652473;0.164705882352941;0;0.0352941176470588
28;Norma;Epilepsy;0.241529431062703;0.0424101661233531;0.0143549264646151;0.215686274509804;0.0392156862745098;0
29;Norma;Epilepsy;0.271483612060555;0.0303125605863688;0.0101675818948019;0.247058823529412;0.0274509803921569;0
30;Norma;Epilepsy;0.187435995363744;0.030757526322901;0.0135377098532019;0.168627450980392;0.0274509803921569;0
31;Norma;Epilepsy;0.164088226767142;0.0289420258765121;0.0148882884605466;0.145098039215686;0.0274509803921569;0
32;Norma;Epilepsy;0.200092057620773;0.049140990014171;0.0366187787523599;0.172549019607843;0.0431372549019608;0.0235294117647059
33;Norma;Epilepsy;0.19412263234458;0.0392421572816053;0.0350891150680277;0.164705882352941;0.0352941176470588;0.0235294117647059
34;Norma;Epilepsy;0.205663868025121;0.0388831606098474;0.0346118179022019;0.164705882352941;0.0352941176470588;0.0196078431372549
35;Norma;Epilepsy;0.261991897283728;0.0821597230200115;0.0303482841043102;0.235294117647059;0.0745098039215686;0.0196078431372549
36;Norma;Epilepsy;0.212158079708323;0.0443489411298168;0.0551280115164714;0.101960784313725;0.0392156862745098;0.0352941176470588
37;Norma;Epilepsy;0.143354748744565;0.0413628783880502;0.0544625674976952;0.129411764705882;0.0352941176470588;0.0352941176470588
38;Norma;Epilepsy;0.126078938502939;0.0240042293772947;0.0406177707747189;0.113725490196078;0.0156862745098039;0.0235294117647059
39;Norma;Epilepsy;0.198972810483381;0.023181616091259;0.0453743392345946;0.184313725490196;0.0196078431372549;0.0274509803921569
40;Norma;Epilepsy;0.257900462431031;0.0249178979911059;0.0454824859020722;0.243137254901961;0.0196078431372549;0.0274509803921569
275;GAA;GBM;0.0960058249679253;0.021649274639059;0.164300454831547;0.0862745098039216;0.0117647058823529;0.101960784313725
276;GAA;GBM;0.0686186622172929;0.0109224132463153;0.194525823406118;0.0549019607843137;0;0.149019607843137
277;GAA;GBM;0.0868961334228939;0.0273730633305876;0.181876190035905;0.0745098039215686;0.0235294117647059;0.125490196078431
278;GAA;GBM;0.107948396720114;0.0179933996761613;0.171776068444347;0.0941176470588235;0.0156862745098039;0.12156862745098
279;GAA;GBM;0.0930451337028611;0.00209908952900182;0.0815433053408882;0.0823529411764706;0;0.0470588235294118
280;GAA;GBM;0.0510037515677995;0.00151709388283552;0.11351551355098;0.0392156862745098;0;0.0666666666666667
281;GAA;GBM;0.0495999467139389;0.124551971285837;0.112858323489995;0.0352941176470588;0.105882352941176;0.0666666666666667
282;GAA;GBM;0.0679205763573469;0.197338388480315;0.150507908241355;0.0588235294117647;0.184313725490196;0.0784313725490196
283;GAA;GBM;0.0663913764205557;0.0230012706681864;0.149541806239832;0.0549019607843137;0.0196078431372549;0.0784313725490196
284;GAA;GBM;0.0412764380959897;0.0103068108652197;0.383782977683959;0.0313725490196078;0.00392156862745098;0.317647058823529
285;GAA;GBM;0.0894048316805593;0.00980419832117191;0.112877838284411;0.0784313725490196;0.00784313725490196;0.0509803921568627
286;GAA;GBM;0.0483145208919777;0.00569922503302852;0.0335593878054185;0.0313725490196078;0.00392156862745098;0.0235294117647059
287;GAA;GBM;0.0579513624602019;0.106332760231141;0.125430933634329;0.0352941176470588;0.0941176470588235;0.0901960784313725
288;GAA;GBM;0.0497776143691064;0.0889238469741071;0.125772678150897;0.0313725490196078;0.0705882352941176;0.0980392156862745
289;GAA;GBM;0.0575731352263773;0.0707863452388287;0.0542287265552937;0.0352941176470588;0.0588235294117647;0.0431372549019608
290;GAA;GBM;0.0631851458082259;0.0784910202026567;0.138975079854309;0.0509803921568627;0.0666666666666667;0.0980392156862745
291;GAA;GBM;0.128598886377603;0.11768796584185;0.149060163310996;0.113725490196078;0.105882352941176;0.0862745098039216
292;GAA;GBM;0.0963815202899806;0.0877096737131783;0.0132346022361602;0.0862745098039216;0.0784313725490196;0
293;GAA;GBM;0.0690138498941545;0.0656209908278894;0.022140300975172;0.0588235294117647;0.0588235294117647;0.00392156862745098
294;GAA;GBM;0.0967730653052254;0.0775522867838535;0.0330667346132169;0.0901960784313725;0.0745098039215686;0.00784313725490196
295;GAA;GBM;0.0907178766586327;0.077508750616342;0.0330851087383751;0.0666666666666667;0.0549019607843137;0.0117647058823529
296;GAA;GBM;0.102026857114306;0.0775204490212852;0.016773485669909;0.0823529411764706;0.0627450980392157;0.00392156862745098
